Time, Axis 1, Axis 2, Axis 3, Axis 4, Axis 5, Axis 6
0.000000, 17.166885, -98.098030, 57.155537, -25.239872, 43.803711, 18.789698
0.041667, 17.125006, -98.107880, 57.163143, -25.181578, 43.792274, 18.746958
0.083333, 17.001076, -98.136871, 57.185490, -25.008945, 43.758587, 18.620359
0.125000, 16.797512, -98.183929, 57.221722, -24.724953, 43.703766, 18.412001
0.166667, 16.516554, -98.247757, 57.270752, -24.332111, 43.629154, 18.123589
0.208333, 16.160295, -98.326820, 57.331326, -23.832544, 43.536301, 17.756510
0.250000, 15.730718, -98.419418, 57.402035, -23.228058, 43.426945, 17.311884
0.291667, 15.229718, -98.523682, 57.481354, -22.520227, 43.303020, 16.790632
0.333333, 14.659150, -98.637611, 57.567661, -21.710474, 43.166630, 16.193558
0.375000, 14.020850, -98.759102, 57.659275, -20.800154, 43.020054, 15.521398
0.416667, 13.316677, -98.885956, 57.754478, -19.790644, 42.865730, 14.774912
0.458333, 12.548547, -99.015930, 57.851528, -18.683439, 42.706242, 13.954957
0.500000, 11.718457, -99.146736, 57.948692, -17.480228, 42.544308, 13.062551
0.541667, 10.828531, -99.276062, 58.044262, -16.183010, 42.382767, 12.098964
0.583333, 9.881036, -99.401611, 58.136570, -14.794159, 42.224560, 11.065787
0.625000, 8.878418, -99.521111, 58.223995, -13.316532, 42.072689, 9.965009
0.666667, 7.823319, -99.632332, 58.304977, -11.753533, 41.930191, 8.799076
0.708333, 6.718604, -99.733101, 58.378036, -10.109199, 41.800110, 7.570965
0.750000, 5.567367, -99.821335, 58.441757, -8.388235, 41.685436, 6.284217
0.791667, 4.372944, -99.895050, 58.494820, -6.596073, 41.589073, 4.942977
0.833333, 3.138915, -99.952393, 58.535976, -4.738873, 41.513767, 3.552008
0.875000, 1.869096, -99.991615, 58.564072, -2.823520, 41.462070, 2.116681
0.916667, 0.567527, -100.011139, 58.578045, -0.857586, 41.436279, 0.642947
0.958333, -0.761544, -100.009552, 58.576912, 1.150735, 41.438377, -0.862720
1.000000, -2.113695, -99.985611, 58.559776, 3.192723, 41.469994, -2.393402
1.041667, -3.484357, -99.938255, 58.525841, 5.259243, 41.532360, -3.941835
1.083333, -4.868857, -99.866631, 58.474380, 7.340894, 41.626282, -5.500533
1.125000, -6.262461, -99.770096, 58.404781, 9.428153, 41.752121, -7.061912
1.166667, -7.660420, -99.648193, 58.316498, 11.511543, 41.909779, -8.618431
1.208333, -9.058017, -99.500702, 58.209095, 13.581788, 42.098717, -10.162725
1.250000, -10.450616, -99.327629, 58.082230, 15.629976, 42.317959, -11.687738
1.291667, -11.833706, -99.129166, 57.935669, 17.647682, 42.566139, -13.186830
1.333333, -13.202950, -98.905746, 57.769287, 19.627102, 42.841534, -14.653877
1.375000, -14.554210, -98.658012, 57.583076, 21.561131, 43.142097, -16.083351
1.416667, -15.883592, -98.386810, 57.377163, 23.443438, 43.465534, -17.470360
1.458333, -17.187462, -98.093178, 57.151794, 25.268501, 43.809338, -18.810686
1.500000, -18.462469, -97.778366, 56.907379, 27.031626, 44.170860, -20.100788
1.541667, -19.705557, -97.443802, 56.644478, 28.728924, 44.547340, -21.337791
1.583333, -20.913965, -97.091087, 56.363811, 30.357296, 44.935974, -22.519459
1.625000, -22.085228, -96.722000, 56.066280, 31.914381, 45.333946, -23.644154
1.666667, -23.217175, -96.338470, 55.752972, 33.398499, 45.738461, -24.710796
1.708333, -24.307899, -95.942596, 55.425159, 34.808586, 46.146786, -25.718801
1.750000, -25.355764, -95.536583, 55.084324, 36.144119, 46.556263, -26.668030
1.791667, -26.359365, -95.122787, 54.732147, 37.405060, 46.964321, -27.558737
1.833333, -27.317516, -94.703697, 54.370522, 38.591770, 47.368511, -28.391514
1.875000, -28.229219, -94.281898, 54.001560, 39.704941, 47.766479, -29.167233
1.916667, -29.093639, -93.860077, 53.627579, 40.745537, 48.155983, -29.887011
1.958333, -29.910086, -93.441025, 53.251110, 41.714733, 48.534901, -30.552156
2.000000, -30.677975, -93.027618, 52.874893, 42.613846, 48.901203, -31.164133
2.041667, -31.396809, -92.622787, 52.501858, 43.444305, 49.252960, -31.724520
2.083333, -32.066151, -92.229546, 52.135128, 44.207565, 49.588337, -32.234974
2.125000, -32.685596, -91.850945, 51.777985, 44.905102, 49.905575, -32.697189
2.166667, -33.254745, -91.490074, 51.433849, 45.538338, 50.202976, -33.112877
2.208333, -33.773197, -91.150024, 51.106255, 46.108624, 50.478924, -33.483727
2.250000, -34.240498, -90.833885, 50.798824, 46.617176, 50.731846, -33.811352
2.291667, -34.656139, -90.544731, 50.515202, 47.065067, 50.960213, -34.097282
2.333333, -35.019535, -90.285576, 50.259026, 47.453152, 51.162548, -34.342899
2.375000, -35.329983, -90.059326, 50.033863, 47.782066, 51.337421, -34.549397
2.416667, -35.586662, -89.868805, 49.843155, 48.052151, 51.483425, -34.717751
2.458333, -35.788597, -89.716675, 49.690144, 48.263439, 51.599209, -34.848648